Unnamed Project,,Replications:,30,,,,,,,
Tally,,,,,,,,,,
Expression,Average,,Half Width,Minimum,Maximum,,,,,
Movie1SoldOutTime,,23.8748,,,,,(Insufficient),,23.8748,23.8748
Movie2SoldOutTime,,37.8614,,,,,(Insufficient),,37.8614,37.8614
Movie3SoldOutTime,,24.7898,,,,,(Insufficient),,24.7898,24.7898
Counter,,,,,,,,,,
Count,,Value,,,,,,,,
Record Reneging Movie1 Customers,,,,0,,,,,,
Record Reneging Movie2 Customers,,,,0,,,,,,
Record Reneging Movie3 Customers,,,,0,,,,,,
Model Filename:,C:\Users\Fatih\Desktop\Simulate-a-Local-Cinema\Others\q4,Page,1,of,1,,,,,
